"Borough","CommunityBoard","CouncilDistrict","DispenserUnitLocation","GISPropNum","InstallationDate","Location","Manufacturer","MountingSurface","OBJECTID","OMPPropID","ParkDistrict","Precinct","PropertyName","RestockedBy","SubPropertyName","ZIPCode","point"
"M",103,2,"Park Perimeter","M270","","Szold Pl and E11th St","Mitt Mutt","Wrought Iron Fence",34403,"","M-03",9,"Dry Dock Playground","Parks","",10009,"POINT (-73.97567131907184 40.725790821047255)"
"",207,14,"Park Perimeter","X013","","","Mitt Mutt","Wrought Iron Fence",14404,"","X-05",52,"Devoe Park","Parks","",10468,"POINT (-73.90526394107891 40.863853381021556)"
"",309,40,"Park Perimeter","","2018-04-07 04:00:00.0000000","","Mitt Mutt","Paved Surface",5640,"","",71,"","Parks","",11225,"POINT (-73.96236820856976 40.65785669924391)"
"X",201,8,"Park Perimeter","X217","","","Mitt Mutt","Chain Link Fence",3626,"","X-01",40,"Willis Playground","Parks","",10454,"POINT (-73.92252988531784 40.811396495836604)"
"X",226,11,"Park Perimeter","X092","","","Mitt Mutt","Unpaved Surface",21213,"X092-ZN08","X-13",50,"Van Cortlandt Park","Parks","Kelly Fields",10471,"POINT (-73.89640105986128 40.90741952541409)"
"X",203,15,"Park Perimeter","X010","","WIF 5 ft from street intersection","Mitt Mutt","Wrought Iron Fence",6803,"X010-ZN10","X-03",42,"Crotona Park","Parks","Crotona Zone 10",10457,"POINT (-73.89722474508142 40.842422678423084)"
"X",208,14,"Park Perimeter","X038","","","Mitt Mutt","Unpaved Surface",16810,"","X-08",50,"Washington's Walk","Parks","",10468,"POINT (-73.89976309099512 40.874061747489385)"
"R",595,50,"Park Perimeter","R016","","","Mitt Mutt","Paved Surface",20005,"R016-ZN01","R-03",122,"Great Kills Park","Parks","Cedar Grove Beach Zone 1",10306,"POINT (-74.09875251344366 40.563036900899576)"
"B",315,47,"Park Perimeter","B065","2018-04-03 04:00:00.0000000","","Mitt Mutt","Unpaved Surface",5614,"B065-ZN08","B-12",61,"Ocean Parkway Malls","Parks","Ocean Parkway Malls Zone 8",11223,"POINT (-73.96538770412762 40.59095147825097)"
"X",204,16,"Park Interior","X028","","entrance of 161 Grand Concourse","Mitt Mutt","Unpaved Surface",7221,"","X-04",44,"Joyce Kilmer Park","Parks","",10451,"POINT (-73.92288563542276 40.82721374637559)"
"X",206,15,"Park Perimeter","X280","","","Mitt Mutt","Wrought Iron Fence",7604,"","X-06",48,"Washington Park","Parks","",10458,"POINT (-73.89322229157604 40.85601414491111)"
"Q",482,32,"Near Entrance","Q015","2018-03-30 04:00:00.0000000","Park Lane S. bottom of staircase near CS","Mitt Mutt","Paved Surface",11209,"Q015-ZN07","Q-16",102,"Forest Park","Parks","Tennis Courts - Forest Parkway",11385,"POINT (-73.85829870016099 40.6968214031752)"
"Q",405,32,"Park Perimeter","Q290","2017-12-11 05:00:00.0000000","70th St. and Central Ave.","Mitt Mutt","Paved Surface",3632,"","Q-05",104,"""Uncle"" Vito F. Maranzano Glendale Playground","Parks","",11385,"POINT (-73.88195522364367 40.704513215357245)"
"Q",411,20,"Park Perimeter","Q293","2017-11-30 05:00:00.0000000","on 201st St. mid-block","Mitt Mutt","Paved Surface",5625,"","Q-11",111,"Saul Weprin Playground","Parks","",11364,"POINT (-73.77676064579077 40.74797808999541)"
"Q",402,26,"Near Entrance","Q031","2018-03-28 04:00:00.0000000","39th Dr. sitting area/lookout point","Mitt Mutt","Unpaved Surface",12003,"","Q-02",108,"Lawrence Virgilio Playground","Parks","",11377,"POINT (-73.91012227092322 40.74712055565209)"
"B",316,41,"Park Perimeter","B110","2018-10-12 04:00:00.0000000","WIF","Mitt Mutt","Wrought Iron Fence",35203,"","B-16",73,"Marion Hopkinson Playground","Parks","",11233,"POINT (-73.91416393197225 40.68178556402174)"
"B",315,48,"Park Perimeter","BT14","2018-02-13 05:00:00.0000000","","Mitt Mutt","Unpaved Surface",3259,"","B-15",61,"Shore Boulevard Mall","Parks","",11235,"POINT (-73.95276416105587 40.581920666330554)"
"X",212,12,"Park Perimeter","X169","","concrete wall","Mitt Mutt","Wall",20811,"","X-12",47,"Agnes Haywood Playground","Parks","",10467,"POINT (-73.86147854473421 40.88060079393411)"
"B",316,41,"Park Perimeter","B377","2018-04-09 04:00:00.0000000","","Mitt Mutt","Chain Link Fence",5612,"","B-16",73,"Floyd Patterson Ballfields","Parks","",11212,"POINT (-73.90459341260059 40.66139817920377)"
"X",206,15,"Park Perimeter","X010A","","","Mitt Mutt","Wrought Iron Fence",7216,"","X-06",48,"Walter Gladwin Park","Parks","",10457,"POINT (-73.89321104122315 40.8461574984256)"
"",410,32,"Park Interior","","2018-02-07 05:00:00.0000000","Cohancy St.","Mitt Mutt","Unpaved Surface",6027,"","",106,"","Parks","",11414,"POINT (-73.8356621946588 40.663434921000785)"
"X",207,11,"Park Perimeter","X033","","E Mosh Pkwy N and Kossuth Ave","Mitt Mutt","Unpaved Surface",16009,"X033-ZN02","X-07",52,"Mosholu Parkway","Parks","Mosholu Parkway Zone 2",10467,"POINT (-73.8829437303816 40.87878897876591)"
"B",315,46,"Park Perimeter","B235","2018-01-26 05:00:00.0000000","In front of CS on Ave V","Mitt Mutt","Paved Surface",3627,"","B-15",61,"Herman Dolgon Playground","","",11229,"POINT (-73.93961765708289 40.59839652674623)"
"Q",402,26,"Near Entrance","Q205A","2018-04-20 04:00:00.0000000","near CLF entrance, Laurel Hill Blvd.","Mitt Mutt","Paved Surface",3231,"","Q-02",108,"Big Bush Playground","Parks","",11377,"POINT (-73.90276744989663 40.73903290496606)"
"R",503,51,"Park Perimeter","R106","2018-06-20 04:00:00.0000000","West Drum and Lenevar","Mitt Mutt","Unpaved Surface",18004,"R106-ZN03","R-03",123,"Bloomingdale Park","Parks","Bloomingdale Park Zone 3",10309,"POINT (-74.2070639063701 40.53157620331178)"
"X",204,16,"Park Interior","X047","","","Mitt Mutt","Unpaved Surface",13207,"X047-ZN02","X-04",44,"Franz Sigel Park","Parks","Franz Sigel Park Zone 2",10451,"POINT (-73.92491224421687 40.82428823042522)"
"B",355,39,"","B073","","","Mitt Mutt","",1603,"B073-ZN04","B-19",78,"Prospect Park","","The Bandshell",11215,"POINT (-73.9758480981825 40.66540821343492)"
"B",304,37,"Near Entrance","B049","2018-03-10 05:00:00.0000000","Just inside Halsey/Wilson entrance","Mitt Mutt","Unpaved Surface",8413,"","B-04",83,"Irving Square Park","","",11207,"POINT (-73.90957337270694 40.6916821934667)"
